Question,Correct Option,person1,person2,person3,person4
Q1,B,B,B,B,A
Q2,A,A,A,A,A
Q3,B,B,B,B,A
Q4,B,B,B,B,B
Q5,A,A,A,A,B
Q6,B,B,B,B,B
Q7,B,B,B,B,A
Q8,B,A,B,B,A
Q9,B,B,B,B,A
Q10,A,B,A,A,B
Q11,B,B,B,B,B
Q12,B,A,B,A,A
Q13,A,B,B,A,B
Q14,A,A,B,A,B
Q15,B,B,B,B,A
Q16,A,A,B,A,A
Q17,B,B,B,A,A
Q18,B,B,B,A,A
Q19,A,B,B,B,B
Q20,B,A,A,B,B
