Question,Your Answer
Q1,Option B
Q2,Option A
Q3,Option B
Q4,Option B
Q5,Option A
Q6,Option B
Q7,Option B
Q8,Option B
Q9,Option B
Q10,Option A
Q11,Option B
Q12,Option B
Q13,Option B
Q14,Option B
Q15,Option B
Q16,Option B
Q17,Option B
Q18,Option B
Q19,Option B
Q20,Option A
