Question,Your Answer
Q1,Option A
Q2,Option A
Q3,Option A
Q4,Option B
Q5,Option B
Q6,Option B
Q7,Option A
Q8,Option A
Q9,Option A
Q10,Option B
Q11,Option B
Q12,Option A
Q13,Option B
Q14,Option B
Q15,Option A
Q16,Option A
Q17,Option A
Q18,Option A
Q19,Option B
Q20,Option B
